type_id,group_id,type_name,group_name,category_id,category_name
454,53,Small Focused Beam Laser I,Energy Weapon,7,Module
455,53,Quad Light Beam Laser I,Energy Weapon,7,Module
456,53,Focused Medium Pulse Laser I,Energy Weapon,7,Module
457,53,Focused Medium Beam Laser I,Energy Weapon,7,Module
458,53,Heavy Pulse Laser I,Energy Weapon,7,Module
459,53,Heavy Beam Laser I,Energy Weapon,7,Module
460,53,Dual Heavy Pulse Laser I,Energy Weapon,7,Module
461,53,Dual Heavy Beam Laser I,Energy Weapon,7,Module
462,53,Mega Pulse Laser I,Energy Weapon,7,Module
463,53,Mega Beam Laser I,Energy Weapon,7,Module
464,53,Tachyon Beam Laser I,Energy Weapon,7,Module
482,54,Miner II,Mining Laser,7,Module
483,54,Miner I,Mining Laser,7,Module
484,55,125mm Gatling AutoCannon I,Projectile Weapon,7,Module
485,55,150mm Light AutoCannon I,Projectile Weapon,7,Module
486,55,200mm AutoCannon I,Projectile Weapon,7,Module
487,55,250mm Light Artillery Cannon I,Projectile Weapon,7,Module
488,55,280mm Howitzer Artillery I,Projectile Weapon,7,Module
489,55,Dual 180mm AutoCannon I,Projectile Weapon,7,Module
490,55,220mm Vulcan AutoCannon I,Projectile Weapon,7,Module
491,55,425mm AutoCannon I,Projectile Weapon,7,Module
492,55,650mm Artillery Cannon I,Projectile Weapon,7,Module
493,55,720mm Howitzer Artillery I,Projectile Weapon,7,Module
494,55,Dual 425mm AutoCannon I,Projectile Weapon,7,Module
495,55,Dual 650mm Repeating Cannon I,Projectile Weapon,7,Module
496,55,800mm Repeating Cannon I,Projectile Weapon,7,Module
497,55,1200mm Artillery Cannon I,Projectile Weapon,7,Module
498,55,1400mm Howitzer Artillery I,Projectile Weapon,7,Module
499,509,Light Missile Launcher I,Missile Launcher Light,7,Module
501,510,Heavy Missile Launcher I,Missile Launcher Heavy,7,Module
503,508,Torpedo Launcher I,Missile Launcher Torpedo,7,Module
506,767,'Basic' Capacitor Power Relay,Capacitor Power Relay,7,Module
508,770,'Basic' Shield Flux Coil,Shield Flux Coil,7,Module
509,768,'Basic' Capacitor Flux Coil,Capacitor Flux Coil,7,Module
518,59,'Basic' Gyrostabilizer,Gyrostabilizer,7,Module
519,59,Gyrostabilizer II,Gyrostabilizer,7,Module
520,59,Gyrostabilizer I,Gyrostabilizer,7,Module
521,60,'Basic' Damage Control,Damage Control,7,Module
522,61,'Micro' Cap Battery,Capacitor Battery,7,Module
523,62,Small Armor Repairer I,Armor Repair Unit,7,Module
524,63,Small Hull Repairer I,Hull Repair Unit,7,Module
526,65,Stasis Webifier I,Stasis Web,7,Module
527,65,Stasis Webifier II,Stasis Web,7,Module
529,67,Small Remote Capacitor Transmitter I,Remote Capacitor Transmitter,7,Module
530,68,Small Energy Nosferatu I,Energy Nosferatu,7,Module
533,71,Small Energy Neutralizer I,Energy Neutralizer,7,Module
561,74,75mm Gatling Rail I,Hybrid Weapon,7,Module
562,74,Light Electron Blaster I,Hybrid Weapon,7,Module
563,74,Light Ion Blaster I,Hybrid Weapon,7,Module
564,74,Light Neutron Blaster I,Hybrid Weapon,7,Module
565,74,150mm Railgun I,Hybrid Weapon,7,Module
566,74,Heavy Electron Blaster I,Hybrid Weapon,7,Module
567,74,Dual 150mm Railgun I,Hybrid Weapon,7,Module
568,74,Heavy Neutron Blaster I,Hybrid Weapon,7,Module
569,74,Heavy Ion Blaster I,Hybrid Weapon,7,Module
570,74,250mm Railgun I,Hybrid Weapon,7,Module
571,74,Electron Blaster Cannon I,Hybrid Weapon,7,Module
572,74,Dual 250mm Railgun I,Hybrid Weapon,7,Module
573,74,Neutron Blaster Cannon I,Hybrid Weapon,7,Module
574,74,425mm Railgun I,Hybrid Weapon,7,Module
575,74,Ion Blaster Cannon I,Hybrid Weapon,7,Module
577,76,Medium Capacitor Booster I,Capacitor Booster,7,Module
578,77,Multispectrum Shield Hardener I,Shield Hardener,7,Module
580,80,Burst Jammer I,Burst Jammer,7,Module
581,82,Passive Targeter I,Passive Targeting System,7,Module
582,25,Bantam,Frigate,6,Ship
583,25,Condor,Frigate,6,Ship
584,25,Griffin,Frigate,6,Ship
585,25,Slasher,Frigate,6,Ship
586,25,Probe,Frigate,6,Ship
587,25,Rifter,Frigate,6,Ship
588,237,Reaper,Corvette,6,Ship
589,25,Executioner,Frigate,6,Ship
590,25,Inquisitor,Frigate,6,Ship
591,25,Tormentor,Frigate,6,Ship
592,25,Navitas,Frigate,6,Ship
593,25,Tristan,Frigate,6,Ship
594,25,Incursus,Frigate,6,Ship
595,25,Gallente Police Ship,Frigate,6,Ship
596,237,Impairor,Corvette,6,Ship
597,25,Punisher,Frigate,6,Ship
598,25,Breacher,Frigate,6,Ship
599,25,Burst,Frigate,6,Ship
600,25,Minmatar Peacekeeper Ship,Frigate,6,Ship
601,237,Ibis,Corvette,6,Ship
602,25,Kestrel,Frigate,6,Ship
603,25,Merlin,Frigate,6,Ship
605,25,Heron,Frigate,6,Ship
606,237,Velator,Corvette,6,Ship
607,25,Imicus,Frigate,6,Ship
608,25,Atron,Frigate,6,Ship
609,25,Maulus,Frigate,6,Ship
613,25,Devourer,Frigate,6,Ship
614,25,Fury,Frigate,6,Ship
615,237,Immolator,Corvette,6,Ship
616,25,Medusa,Frigate,6,Ship
617,237,Echo,Corvette,6,Ship
618,25,Lynx,Frigate,6,Ship
619,25,Swordspine,Frigate,6,Ship
620,26,Osprey,Cruiser,6,Ship
621,26,Caracal,Cruiser,6,Ship
622,26,Stabber,Cruiser,6,Ship
623,26,Moa,Cruiser,6,Ship
624,26,Maller,Cruiser,6,Ship
625,26,Augoror,Cruiser,6,Ship
626,26,Vexor,Cruiser,6,Ship
627,26,Thorax,Cruiser,6,Ship
628,26,Arbitrator,Cruiser,6,Ship
629,26,Rupture,Cruiser,6,Ship
630,26,Bellicose,Cruiser,6,Ship
631,26,Scythe,Cruiser,6,Ship
632,26,Blackbird,Cruiser,6,Ship
633,26,Celestis,Cruiser,6,Ship
634,26,Exequror,Cruiser,6,Ship
635,26,Opux Luxury Yacht,Cruiser,6,Ship
638,27,Raven,Battleship,6,Ship
639,27,Tempest,Battleship,6,Ship
640,27,Scorpion,Battleship,6,Ship
641,27,Megathron,Battleship,6,Ship
642,27,Apocalypse,Battleship,6,Ship
643,27,Armageddon,Battleship,6,Ship
644,27,Typhoon,Battleship,6,Ship
645,27,Dominix,Battleship,6,Ship
648,28,Badger,Hauler,6,Ship
649,28,Tayra,Hauler,6,Ship
650,28,Nereus,Hauler,6,Ship
651,28,Hoarder,Hauler,6,Ship
652,28,Mammoth,Hauler,6,Ship
653,28,Wreathe,Hauler,6,Ship
654,28,Kryos,Hauler,6,Ship
655,28,Epithal,Hauler,6,Ship
656,28,Miasmos,Hauler,6,Ship
657,28,Iteron Mark V,Hauler,6,Ship
670,29,Capsule,Capsule,6,Ship
671,30,Erebus,Titan,6,Ship
672,31,Caldari Shuttle,Shuttle,6,Ship
681,104,Clone Grade Beta Blueprint,Clone Blueprint,9,Blueprint
682,104,Clone Grade Gamma Blueprint,Clone Blueprint,9,Blueprint
683,105,Bantam Blueprint,Frigate Blueprint,9,Blueprint
684,105,Condor Blueprint,Frigate Blueprint,9,Blueprint
685,105,Griffin Blueprint,Frigate Blueprint,9,Blueprint
686,106,Osprey Blueprint,Cruiser Blueprint,9,Blueprint
687,106,Caracal Blueprint,Cruiser Blueprint,9,Blueprint
688,107,Raven Blueprint,Battleship Blueprint,9,Blueprint
689,105,Slasher Blueprint,Frigate Blueprint,9,Blueprint
690,105,Probe Blueprint,Frigate Blueprint,9,Blueprint
691,105,Rifter Blueprint,Frigate Blueprint,9,Blueprint
692,106,Stabber Blueprint,Cruiser Blueprint,9,Blueprint
693,107,Tempest Blueprint,Battleship Blueprint,9,Blueprint
784,134,Miner II Blueprint,Mining Laser Blueprint,9,Blueprint
785,134,Miner I Blueprint,Mining Laser Blueprint,9,Blueprint
786,136,Light Missile Launcher I Blueprint,Missile Launcher Blueprint,9,Blueprint
788,136,Heavy Missile Launcher I Blueprint,Missile Launcher Blueprint,9,Blueprint
790,136,Torpedo Launcher I Blueprint,Missile Launcher Blueprint,9,Blueprint
803,166,Mjolnir Cruise Missile Blueprint,Missile Blueprint,9,Blueprint
804,166,Scourge Cruise Missile Blueprint,Missile Blueprint,9,Blueprint
805,166,Inferno Cruise Missile Blueprint,Missile Blueprint,9,Blueprint
806,166,Nova Cruise Missile Blueprint,Missile Blueprint,9,Blueprint
807,166,Nova Heavy Missile Blueprint,Missile Blueprint,9,Blueprint
808,166,Mjolnir Heavy Missile Blueprint,Missile Blueprint,9,Blueprint
809,166,Inferno Heavy Missile Blueprint,Missile Blueprint,9,Blueprint
810,166,Scourge Heavy Missile Blueprint,Missile Blueprint,9,Blueprint
811,166,Scourge Light Missile Blueprint,Missile Blueprint,9,Blueprint
812,166,Inferno Light Missile Blueprint,Missile Blueprint,9,Blueprint
813,166,Mjolnir Light Missile Blueprint,Missile Blueprint,9,Blueprint
814,166,Nova Light Missile Blueprint,Missile Blueprint,9,Blueprint
819,135,125mm Gatling AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
820,135,150mm Light AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
821,135,200mm AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
822,135,250mm Light Artillery Cannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
823,135,280mm Howitzer Artillery I Blueprint,Projectile Weapon Blueprint,9,Blueprint
824,135,Dual 180mm AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
825,135,220mm Vulcan AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
826,135,425mm AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
827,135,650mm Artillery Cannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
828,135,720mm Howitzer Artillery I Blueprint,Projectile Weapon Blueprint,9,Blueprint
829,135,Dual 425mm AutoCannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
830,135,Dual 650mm Repeating Cannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
831,135,800mm Repeating Cannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
832,135,1200mm Artillery Cannon I Blueprint,Projectile Weapon Blueprint,9,Blueprint
833,135,1400mm Howitzer Artillery I Blueprint,Projectile Weapon Blueprint,9,Blueprint
834,133,Gatling Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
835,133,Dual Light Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
836,133,Dual Light Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
837,133,Small Focused Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
838,133,Small Focused Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
839,133,Quad Light Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
840,133,Focused Medium Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
841,133,Focused Medium Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
842,133,Heavy Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
843,133,Heavy Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
844,133,Dual Heavy Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
845,133,Dual Heavy Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
846,133,Mega Pulse Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
847,133,Mega Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
848,133,Tachyon Beam Laser I Blueprint,Energy Weapon Blueprint,9,Blueprint
879,165,Carbonized Lead S Blueprint,Projectile Ammo Blueprint,9,Blueprint
880,165,Nuclear S Blueprint,Projectile Ammo Blueprint,9,Blueprint
881,165,Proton S Blueprint,Projectile Ammo Blueprint,9,Blueprint
882,165,Depleted Uranium S Blueprint,Projectile Ammo Blueprint,9,Blueprint
883,165,Titanium Sabot S Blueprint,Projectile Ammo Blueprint,9,Blueprint
884,165,Fusion S Blueprint,Projectile Ammo Blueprint,9,Blueprint
885,165,Phased Plasma S Blueprint,Projectile Ammo Blueprint,9,Blueprint
886,165,EMP S Blueprint,Projectile Ammo Blueprint,9,Blueprint
887,165,Carbonized Lead M Blueprint,Projectile Ammo Blueprint,9,Blueprint
888,165,Nuclear M Blueprint,Projectile Ammo Blueprint,9,Blueprint
889,165,Proton M Blueprint,Projectile Ammo Blueprint,9,Blueprint
890,165,Depleted Uranium M Blueprint,Projectile Ammo Blueprint,9,Blueprint
891,165,Titanium Sabot M Blueprint,Projectile Ammo Blueprint,9,Blueprint
892,165,Fusion M Blueprint,Projectile Ammo Blueprint,9,Blueprint
893,165,Phased Plasma M Blueprint,Projectile Ammo Blueprint,9,Blueprint
894,165,EMP M Blueprint,Projectile Ammo Blueprint,9,Blueprint
895,165,Carbonized Lead L Blueprint,Projectile Ammo Blueprint,9,Blueprint
896,165,Nuclear L Blueprint,Projectile Ammo Blueprint,9,Blueprint
897,165,Proton L Blueprint,Projectile Ammo Blueprint,9,Blueprint
898,165,Depleted Uranium L Blueprint,Projectile Ammo Blueprint,9,Blueprint
899,165,Titanium Sabot L Blueprint,Projectile Ammo Blueprint,9,Blueprint
900,165,Fusion L Blueprint,Projectile Ammo Blueprint,9,Blueprint
901,165,Phased Plasma L Blueprint,Projectile Ammo Blueprint,9,Blueprint
902,165,EMP L Blueprint,Projectile Ammo Blueprint,9,Blueprint
935,105,Reaper Blueprint,Frigate Blueprint,9,Blueprint
936,105,Executioner Blueprint,Frigate Blueprint,9,Blueprint
937,105,Inquisitor Blueprint,Frigate Blueprint,9,Blueprint
938,105,Tormentor Blueprint,Frigate Blueprint,9,Blueprint
939,105,Navitas Blueprint,Frigate Blueprint,9,Blueprint
940,105,Tristan Blueprint,Frigate Blueprint,9,Blueprint
941,105,Incursus Blueprint,Frigate Blueprint,9,Blueprint
943,105,Impairor Blueprint,Frigate Blueprint,9,Blueprint
944,105,Punisher Blueprint,Frigate Blueprint,9,Blueprint
945,105,Breacher Blueprint,Frigate Blueprint,9,Blueprint
946,105,Burst Blueprint,Frigate Blueprint,9,Blueprint
947,105,Minmatar Peacekeeper Ship Blueprint,Frigate Blueprint,9,Blueprint
948,105,Ibis Blueprint,Frigate Blueprint,9,Blueprint
949,105,Kestrel Blueprint,Frigate Blueprint,9,Blueprint
950,105,Merlin Blueprint,Frigate Blueprint,9,Blueprint
952,105,Heron Blueprint,Frigate Blueprint,9,Blueprint
953,105,Velator Blueprint,Frigate Blueprint,9,Blueprint
954,105,Imicus Blueprint,Frigate Blueprint,9,Blueprint
955,105,Atron Blueprint,Frigate Blueprint,9,Blueprint
956,105,Maulus Blueprint,Frigate Blueprint,9,Blueprint
960,105,Devourer Blueprint,Frigate Blueprint,9,Blueprint
961,105,Fury Blueprint,Frigate Blueprint,9,Blueprint
962,105,Immolator Blueprint,Frigate Blueprint,9,Blueprint
963,105,Medusa Blueprint,Frigate Blueprint,9,Blueprint
964,105,Echo Blueprint,Frigate Blueprint,9,Blueprint
965,105,Lynx Blueprint,Frigate Blueprint,9,Blueprint
966,105,Swordspine Blueprint,Frigate Blueprint,9,Blueprint
967,111,Caldari Shuttle Blueprint,Shuttle Blueprint,9,Blueprint
968,106,Moa Blueprint,Cruiser Blueprint,9,Blueprint
969,106,Maller Blueprint,Cruiser Blueprint,9,Blueprint
970,106,Augoror Blueprint,Cruiser Blueprint,9,Blueprint
971,106,Vexor Blueprint,Cruiser Blueprint,9,Blueprint
972,106,Thorax Blueprint,Cruiser Blueprint,9,Blueprint
973,106,Arbitrator Blueprint,Cruiser Blueprint,9,Blueprint
974,106,Rupture Blueprint,Cruiser Blueprint,9,Blueprint
975,106,Bellicose Blueprint,Cruiser Blueprint,9,Blueprint
976,106,Scythe Blueprint,Cruiser Blueprint,9,Blueprint
977,106,Blackbird Blueprint,Cruiser Blueprint,9,Blueprint
978,106,Celestis Blueprint,Cruiser Blueprint,9,Blueprint
979,106,Exequror Blueprint,Cruiser Blueprint,9,Blueprint
983,108,Badger Blueprint,Hauler Blueprint,9,Blueprint
984,108,Tayra Blueprint,Hauler Blueprint,9,Blueprint
985,108,Nereus Blueprint,Hauler Blueprint,9,Blueprint
986,108,Hoarder Blueprint,Hauler Blueprint,9,Blueprint
987,108,Mammoth Blueprint,Hauler Blueprint,9,Blueprint
988,108,Wreathe Blueprint,Hauler Blueprint,9,Blueprint
989,108,Kryos Blueprint,Hauler Blueprint,9,Blueprint
990,108,Epithal Blueprint,Hauler Blueprint,9,Blueprint
991,108,Miasmos Blueprint,Hauler Blueprint,9,Blueprint
992,108,Iteron Mark V Blueprint,Hauler Blueprint,9,Blueprint
994,107,Scorpion Blueprint,Battleship Blueprint,9,Blueprint
995,107,Megathron Blueprint,Battleship Blueprint,9,Blueprint
996,107,Apocalypse Blueprint,Battleship Blueprint,9,Blueprint
997,107,Armageddon Blueprint,Battleship Blueprint,9,Blueprint
998,107,Typhoon Blueprint,Battleship Blueprint,9,Blueprint
999,107,Dominix Blueprint,Battleship Blueprint,9,Blueprint
1002,110,Erebus Blueprint,Titan Blueprint,9,Blueprint
1010,118,Small Shield Extender I Blueprint,Shield Extender Blueprint,9,Blueprint
1013,118,Small Shield Extender II Blueprint,Shield Extender Blueprint,9,Blueprint
1026,119,Shield Recharger I Blueprint,Shield Recharger Blueprint,9,Blueprint
1027,119,Shield Recharger II Blueprint,Shield Recharger Blueprint,9,Blueprint
1032,120,Small Shield Booster I Blueprint,Shield Booster Blueprint,9,Blueprint
1033,120,Small Shield Booster II Blueprint,Shield Booster Blueprint,9,Blueprint
1067,126,5MN Microwarpdrive I Blueprint,Propulsion Module Blueprint,9,Blueprint
1071,126,1MN Afterburner II Blueprint,Propulsion Module Blueprint,9,Blueprint
1072,126,1MN Afterburner I Blueprint,Propulsion Module Blueprint,9,Blueprint
1073,126,5MN Microwarpdrive II Blueprint,Propulsion Module Blueprint,9,Blueprint
1074,127,Cargo Scanner I Blueprint,Cargo Scanner Blueprint,9,Blueprint
1075,128,Ship Scanner I Blueprint,Ship Scanner Blueprint,9,Blueprint
1076,129,Survey Scanner I Blueprint,Survey Scanner Blueprint,9,Blueprint
1079,132,Warp Scrambler I Blueprint,Warp Scrambler Blueprint,9,Blueprint
1080,132,Warp Scrambler II Blueprint,Warp Scrambler Blueprint,9,Blueprint
1095,139,Gyrostabilizer II Blueprint,Gunnery Upgrade Blueprint,9,Blueprint
1096,139,Gyrostabilizer I Blueprint,Gunnery Upgrade Blueprint,9,Blueprint
1099,142,Small Armor Repairer I Blueprint,Armor Repair Unit Blueprint,9,Blueprint
1100,143,Small Hull Repairer I Blueprint,Hull Repair Unit Blueprint,9,Blueprint
1102,145,Stasis Webifier I Blueprint,Stasis Web Blueprint,9,Blueprint
1103,145,Stasis Webifier II Blueprint,Stasis Web Blueprint,9,Blueprint
